"","ID","R1","R2","R3","R4","R5","R6","R7","R8","R9","M1","M2","M3","M4","M5","M6","M7","M8","M9","S2","S3","S4","S5","S6","S7","S8","S9","T1","T2","T3","T4","T5","T6","T7","T8","T9","SEX","RACE","LOCALE","INCOME","SCHOOL_TYPE","Approach_to_Learning","Self_control","Interpersonal","External_prob_Behavior","Internal_prob_Behavior","Attention_focus","Inhibitory_Ctrl","EDU"
"2252","10002252",47.6884,61.0967,70.6529,96.5172,100.5818,120.5997,126.321,135.9003,137.7405,37.7888,45.9979,56.3071,57.3197,67.2731,67.8721,79.5997,99.7568,117.9547,38.9696,37.3782,32.3507,40.103,42.3159,57.7619,57.503,68.4256,62.37,69.67,74.93,81.11,87.29,93.73,105.57,116.68,127.66,2,1,3,10,1,3,2.75,3,2,2,4,4.5,5
"2316","10002316",51.2118,53.5122,70.7528,105.0582,107.9003,122.2396,119.042,127.7195,153.8452,32.2995,38.1724,48.5097,68.9997,72.217,78.4402,105.3455,113.7697,121.3272,31.3334,34.0192,38.7247,41.4836,53.7232,61.0314,67.7205,73.7266,69.11,74.04,80.65,87.06,92.42,98.89,110.83,122.83,133.91,2,1,2,9,1,2.5714,3,3.2,2,1.6667,4.1667,5,7
"2500","10002500",49.6994,63.7007,62.467,96.0413,98.147,113.7256,121.0737,125.6594,145.1509,33.8546,41.4835,54.8433,62.8618,67.0631,75.2197,98.6116,106.4577,119.9927,33.0527,28.3429,43.1047,45.2432,47.196,50.5064,58.5342,72.9196,67.33,72.66,79.33,85.78,91,97.22,107.57,121.55,133.48,1,8,3,16,1,2.4286,3.5,2.8,1.4,1.25,2.5,3,5
"2569","10002569",53.1471,72.7828,79.5134,98.326,105.5996,115.9146,121.4816,133.4571,133.8743,48.0345,52.4746,65.5821,81.1235,79.6118,99.309,121.6599,127.762,133.7757,33.029,35.4229,38.0523,40.2585,48.6583,57.1016,74.3244,76.5804,70.09,76.27,81.57,87.02,93.47,99.45,110.76,123.81,135.72,1,1,2,14,1,2.7143,3.25,2.8,1.2,1.25,4.5,5.1667,4
"2584","10002584",59.6836,70.4039,75.7823,105.1054,102.8046,108.4232,133.378,123.2509,127.841,51.1445,62.2201,74.008,87.2528,96.4201,122.174,119.8853,120.9485,130.5424,41.7717,37.9811,50.6238,46.8415,52.8748,62.7981,80.4649,82.4859,65.88,71.93,77,84.1,89.13,94.65,106.62,117.7,132.66,2,1,4,4,1,3.7143,3,3.2,1.2,1.25,5.6667,4.8333,5
"2727","10002727",52.459,63.1367,69.7806,90.1555,99.4532,114.3074,122.3351,127.3504,140.7733,44.4425,54.5553,67.4864,79.9754,82.5899,103.599,114.7029,121.0556,129.4898,38.5473,39.4038,45.5528,47.6923,52.1055,61.8145,68.0453,78.9384,68.61,72.46,78.9,85.74,91.07,97.48,109.58,120.56,134.6,2,1,2,17,1,3.2857,3.5,3.2,1.2,1.25,4.5,5.6667,6
"2729","10002729",45.0987,52.3493,52.8218,55.1785,68.2147,66.786,70.6983,89.1507,94.9133,17.23,28.7926,32.2525,48.0665,49.5156,64.8884,85.6681,100.5985,95.6741,27.6975,27.6237,33.0074,41.8621,45.4355,47.9493,56.7319,59.8925,63.45,69.67,75.39,81.57,87.32,93.34,105.57,118.52,130.52,1,1,4,8,1,2.1429,3.75,2.6,1.6,1.75,2.3333,3.6667,5
"2856","10002856",61.5383,73.4477,74.2224,99.5811,95.7368,111.2946,110.6229,126.4643,134.3322,30.2418,47.303,56.3529,63.0259,60.9842,65.6289,103.3634,96.5348,100.5229,32.3643,36.4355,46.2584,40.1205,49.6276,54.3281,54.331,75.6005,70.68,76.73,82.85,89.79,94.39,101.1,112.83,123.85,137.75,2,3,2,16,1,2.8571,2.75,2.8,1.8,2,4.1667,4.2,8
"2918","10002918",50.3849,66.5693,63.4716,92.6913,96.0695,106.4568,110.4083,125.2923,133.4552,35.0484,52.0539,51.2118,70.4033,71.5754,91.9006,107.9782,108.8719,124.3669,28.7047,32.7952,41.7689,40.5976,59.1414,36.2546,50.86,67.0038,68.35,75.48,79.82,85.84,91.36,99.16,109.28,121.25,135.25,2,2,2,12,1,2.8571,3.6667,3.2,1,2.5,4.6,5.2,5
"2941","10002941",75.1233,100.6666,108.9049,121.1292,126.725,133.8257,141.3199,147.0349,146.6844,58.8994,88.9338,95.2931,110.8721,119.9863,123.561,131.1495,132.5767,134.6114,51.7993,47.1848,59.1773,76.1963,66.6022,74.6901,78.1036,87.9054,67,74.37,78.87,85.97,93.34,97.02,109.08,120.07,132.1,1,1,4,15,1,3,3.25,2.8,1.4,1.75,5.4,4.5,3
"3019","10003019",60.5103,71.8658,75.7599,114.4418,125.0111,134.5943,145.7156,138.6799,155.0813,38.5003,45.37,63.558,94.2127,101.5187,107.8299,125.7734,119.5826,134.7031,44.4751,47.4451,53.9618,62.1155,66.2524,74.3927,78.2074,86.7845,69.07,75.02,79.92,87.62,92.71,99.16,109.02,122.07,135.98,1,1,4,17,1,3.2857,2.75,2.4,2,1.75,5.1667,4.5,8
"3040","10003040",53.7937,62.3595,79.628,81.4095,83.9184,104.452,100.0034,114.7178,120.937,40.4397,45.7831,58.3442,68.844,70.0123,89.5814,95.5321,112.4999,118.8705,20.7034,21.4309,23.7324,29.2004,28.0871,35.8006,37.7028,62.6894,62.37,68.09,74.37,79.13,85.38,91.79,102.61,116.52,128.52,1,3,2,4,1,3,2.5,2.2,2,1,5.8333,5,3
"3066","10003066",66.0941,78.4889,106.7174,114.9018,138.9353,128.0721,135.7913,152.8205,151.4728,36.6821,59.1225,82.1797,87.7982,89.9776,107.1608,119.3474,130.4727,135.4476,45.7464,49.7577,62.706,58.4114,68.4951,82.0676,83.4644,83.3189,66.84,72.33,79.07,86.56,90.05,98.73,109.71,121.71,133.74,1,1,1,16,1,2.8571,3,2.8,2,1.75,4.1667,4.6667,6
"3080","10003080",53.6586,68.4084,71.0812,93.923,103.4518,112.5338,132.8739,141.6351,147.6023,34.0623,45.5211,50.6029,63.6571,65.7878,86.3159,110.4932,125.0635,129.788,27.8159,32.8529,39.6736,46.1204,54.3384,66.7886,67.6667,81.9556,62.89,68.45,72.82,79.86,85.15,91.59,102.87,115.86,127.92,1,3,1,11,1,2,2.5,2.4,1.8,1.25,4.1667,4.3333,5
"3089","10003089",56.3768,68.4618,70.6095,102.9378,106.9999,116.5975,132.5011,132.1184,154.3517,31.5402,58.2099,61.3774,81.1911,93.7147,112.126,122.4981,122.5849,130.0343,28.2823,28.9198,35.3678,38.9082,51.4879,67.5119,78.564,84.5198,64.24,70.13,76.14,81.9,88.11,95.05,105.6,116.61,129.6,1,3,1,8,1,3.2857,3,3.2,1.4,1.25,4.6667,5.5,1
"3128","10003128",48.5142,59.1752,74.2075,104.5458,119.5582,134.6558,135.695,148.3633,155.6242,38.3434,54.0474,63.4006,79.592,97.5408,122.2439,119.4092,135.6602,137.9915,35.9846,55.5758,44.7762,61.7261,59.5168,69.4242,76.639,85.8344,62.83,69.04,75.02,80.94,86.93,93.9,104.48,115.5,129.44,1,1,2,17,1,3.1429,4,3.5,1,1.25,5.3333,6.2,5
"3158","10003158",51.9474,70.985,82.3299,96.3236,103.4415,119.9849,129.4783,146.0764,151.9748,35.5822,54.2418,70.2494,68.2223,97.5046,109.9551,124.0394,123.8725,131.348,31.3465,30.4209,39.2915,51.2953,54.6671,52.6513,61.9582,76.6786,66.81,72.79,78.51,84.92,91.13,98.04,110.1,122.1,133.18,1,5,1,10,1,3.5714,3.25,2.8,1.6,1.25,6.5,5.6,6
"3273","10003273",63.6432,96.1682,107.4439,104.9115,107.5189,122.3022,126.5058,145.7729,149.1037,46.8232,52.0913,55.8334,63.0588,67.0791,89.3688,110.8626,111.1711,121.9627,33.8523,39.123,37.9951,41.652,51.5037,52.448,76.0744,69.3806,69.14,74.93,80.71,86.63,92.68,99.06,110.17,123.06,133.15,2,3,1,13,1,4,3.75,3.8,1.2,1.25,5.8333,6.5,6
"3277","10003277",53.7001,68.3552,87.6278,103.8806,113.6363,111.6201,125.0877,142.2843,134.8902,31.6527,52.7511,64.5822,70.6926,77.5201,87.8801,100.7673,123.9412,130.0968,42.3188,40.0167,55.0315,57.2888,59.9643,58.1787,66.7499,73.4594,67,73.38,79.63,86.04,91.86,98.01,110.3,121.28,134.3,1,3,1,16,1,3,3.25,2.75,1.6,1,4.6667,4.5,8
"3304","10003304",46.1967,54.07,61.9762,88.4639,103.6892,120.9926,129.7519,135.1305,153.0416,19.4727,31.0346,43.4135,54.0497,66.4371,75.8587,93.0365,106.1816,103.3677,37.8126,40.2572,45.7479,56.464,58.8172,70.5443,71.5125,78.2802,60.79,66.77,72.53,78.94,85.12,92.02,104.09,116.09,126.18,1,3,1,5,1,2,2.5,2.2,2.2,1.5,4,3.3333,6
"3342","10003342",49.7349,70.17,78.5902,108.9265,109.3611,128.2611,141.8952,151.4,155.8857,37.1693,62.8466,84.6626,101.7908,100.9099,120.2926,134.5196,140.506,143.8255,39.4383,51.4528,56.0279,56.8722,64.7537,70.3718,78.2399,89.1131,70.55,77.26,83.21,90.12,95.57,101.88,112.96,125.85,136.93,1,1,1,12,1,3.2857,3,3.6,1.6,1.75,5.6667,5.8,6
"3362","10003362",53.6748,74.1775,74.8295,98.7876,109.3774,114.2514,125.8094,149.228,152.567,37.4366,51.5811,60.7309,84.6055,96.376,114.6445,124.1178,131.7047,138.7692,37.3022,52.6697,60.3433,56.0183,71.7551,80.8041,74.1744,87.1632,68.22,73.51,79.56,86.89,91.89,98.37,110.37,121.48,133.48,1,1,3,16,1,3,4,3.8,1,1.25,4.8333,5.5,8
"3492","10003492",94.711,99.0952,106.0167,116.6992,121.1292,120.4516,131.4762,146.4514,156.8242,46.7869,65.6758,70.146,81.4588,101.3036,111.4086,128.2386,133.941,136.4524,33.7139,41.4262,42.872,46.0063,54.9772,68.4761,75.4397,87.0519,64.21,69.57,75.09,81.01,87.19,93.4,105.17,116.22,128.22,2,5,1,17,1,3.7143,3.3333,2.6,1.2,1.3333,6.3333,5.6667,6
"3509","10003509",98.6367,104.0984,114.3802,116.6823,128.6106,137.0314,146.3467,152.4758,154.2701,51.3882,60.5376,66.9279,76.3053,101.0925,100.9383,122.2848,124.6098,126.3236,44.448,50.6376,58.108,65.2044,68.0927,77.3596,82.1078,84.572,69.7,74.53,79.36,85.15,91.53,97.55,109.61,121.55,134.5,2,1,4,16,1,3.4286,3.5,3.2,2,1.25,4.6667,5.3333,6
"3510","10003510",67.0462,74.091,80.4089,96.8678,108.2504,102.213,112.1214,130.8966,141.0307,36.6339,45.6791,52.594,60.9717,69.815,77.5296,95.0138,114.0955,100.8916,29.2959,30.4675,38.1058,44.1478,42.166,59.5298,60.3307,71.3975,72.62,77.62,82.49,89.42,94.62,100.9,111.45,123.45,135.45,2,3,1,16,2,2.5714,3.5,3.4,1,2.25,3.6667,4.8333,8
"3520","10003520",55.4901,74.5422,100.4672,112.4228,121.3798,119.3136,124.0248,144.913,148.5108,32.1527,44.476,60.5797,80.4681,89.8174,99.9286,116.074,125.4266,142.4896,26.2177,46.6431,54.6187,55.2814,64.0292,76.1366,80.8631,88.7693,60.92,66.48,73.22,78.97,85.78,91.27,102.35,114.35,127.33,1,3,2,7,1,3.2857,3.5,2.8,1,1.5,5.8333,5.1667,5
"3563","10003563",44.5653,51.8147,61.1741,73.625,71.8739,90.4436,108.2676,109.3819,126.5909,27.3101,31.7285,41.5747,56.3553,54.7456,77.6985,88.7633,108.3752,108.031,29.3513,37.0543,35.0271,44.5053,43.3976,61.0864,57.1215,70.9905,70.68,75.55,80.81,86.76,92.05,98.7,110.76,121.74,133.71,1,3,1,6,1,2.7143,3.75,3.4,2.4,1.5,2.8333,3.8333,3
"3605","10003605",52.9923,60.693,73.6688,90.1297,104.3583,115.4696,111.3562,116.6141,123.8236,30.2404,47.4692,52.6596,58.8798,68.9477,72.4548,79.0273,89.4981,96.9581,29.1774,26.037,28.9941,35.7456,45.0457,47.5619,45.8184,45.7424,67.99,72.79,80.28,85.08,91.99,97.05,109.91,120,132,2,2,1,17,1,2.8571,3.25,3,1,1.25,4.8333,5.25,5
"3651","10003651",46.6365,65.1222,73.5755,90.1726,100.8815,117.4744,130.8826,127.0631,145.0611,18.718,48.4731,59.7988,77.3613,84.3707,99.1067,107.1573,126.5118,129.9264,40.4665,35.7788,43.9537,52.3797,60.7927,68.4037,77.9017,76.0919,72.46,77.75,85.45,90.28,96.62,101.49,113.49,126.41,138.38,2,3,1,4,1,2.7143,2.3333,2.4,1,1.6667,4.1667,4.3333,3
"3688","10003688",49.4676,62.8912,65.7624,90.1683,95.2475,99.1833,120.9665,118.6455,147.7991,32.7338,56.129,46.9391,63.3474,65.7565,75.6182,95.2414,94.5273,103.7105,27.4873,28.1496,43.5595,34.4955,42.1389,56.8777,59.0491,70.6513,67.17,72.39,78.41,84.92,90.31,96.76,109.61,120.59,132.59,1,3,2,4,1,1.5714,1.75,1.2,3.4,1.25,1.5,3,2
"3718","10003718",62.626,81.7334,106.7014,111.0577,137.4153,145.1935,149.1487,149.2223,158.4134,50.2589,62.988,75.5721,84.9164,101.2102,101.0316,121.4124,127.4884,141.9544,50.0072,52.4601,57.0057,56.4794,78.2734,79.3287,83.2396,89.8068,69.53,76.18,83.34,89.72,94.55,101.52,113.29,123.35,137.26,2,1,2,15,1,4,2.6667,2.6,1.25,1.75,6.1667,6,8
"3723","10003723",53.8837,53.8796,62.9572,88.9158,103.2561,103.891,102.1305,121.7591,124.5086,28.1739,45.2528,50.8364,62.0546,63.8965,69.439,83.9678,84.8295,85.1528,24.578,27.4462,28.4663,35.5826,33.8578,41.8611,44.5977,48.67,72.95,78.48,84.53,90.87,96.39,102.61,115.2,127.13,139.2,1,5,2,15,1,2,2,2,2.6,2,2,2.3333,8
"3727","10003727",51.8573,56.4914,65.8387,80.7526,91.1329,104.2906,116.2117,125.851,132.148,41.3481,46.9755,51.7882,68.7295,62.4839,72.2518,99.4978,123.4932,128.7615,33.7824,31.0349,39.3469,43.2304,43.9567,60.5282,62.4298,58.7911,77.33,81.47,87.32,93.73,98.96,105.67,117.8,129.86,141.83,1,2,4,16,2,3.1429,3.25,3.6,2.2,1.5,2.1667,4,6
"3735","10003735",66.9418,95.9193,105.4153,107.3582,125.1299,125.4521,117.6358,139.0969,151.685,33.1983,62.2678,56.0905,72.5188,79.5887,95.5682,95.6515,117.265,126.4206,32.399,32.3391,40.5279,43.0464,56.6331,59.2811,70.6229,77.2905,61.68,68.12,73.18,80.05,85.61,91.86,103.79,114.81,125.88,2,5,1,15,1,4,4,3.6,1,1,5.5,6.5,6
"3736","10003736",51.9237,66.0295,69.2939,87.7759,92.6198,106.5684,117.5082,121.5257,130.3311,30.1811,44.9806,50.3674,67.0021,67.9258,76.3614,98.1743,111.9326,120.9921,34.9982,34.3099,39.7697,48.1253,53.1205,60.1929,50.1847,72.1589,68.09,75.65,80.55,86.93,91.73,98.7,110.27,122.17,135.19,1,2,3,18,1,3.2857,3.75,3.4,1,2,5.6667,6.1667,5
"3772","10003772",66.657,77.7569,86.9332,109.4318,121.0267,126.1796,146.5873,140.8876,156.3095,51.1909,57.1089,76.6332,85.8935,96.5043,100.7719,123.1625,129.4385,134.7336,47.4548,55.2438,54.8911,59.277,67.2478,78.8037,84.7214,90.0882,69.17,75.81,82.03,86.33,92.91,99.35,109.81,121.84,134.83,1,8,2,17,1,3.7143,3.75,3.6,1.4,1.25,5.6667,6,8
"3810","10003810",38.8591,61.2794,64.3892,87.1163,101.0267,109.2741,115.2383,131.158,123.9158,20.5839,35.9929,49.4031,65.1802,72.1649,86.7076,110.2291,112.2535,116.3541,23.1916,27.7783,45.5265,41.0117,45.3631,48.7247,67.9326,69.6509,70.29,76.93,82.06,88.9,94.65,101.1,113.06,124.14,137.13,1,3,4,16,1,2.2857,2,1.8,1.6,1.25,3.5,2.8333,8
"3843","10003843",44.2389,63.608,58.4642,79.5957,78.885,96.7255,102.7817,128.2272,121.2671,24.7352,64.5694,49.2585,54.5695,61.1085,69.9706,74.89,83.4771,94.516,23.8288,23.6576,27.2563,30.085,36.5119,44.1159,41.5724,45.7685,72.36,78.41,84.16,91.23,96.59,103.04,114.48,126.54,138.54,2,3,2,6,1,3.4286,2.25,2.4,1,1.75,4.1667,4.6,4
"3911","10003911",54.0741,62.3681,70.3433,84.4543,97.8914,123.9511,112.7093,133.3084,131.3173,44.6731,42.176,50.5775,64.9425,63.0259,76.0567,97.6936,106.586,106.0701,36.979,49.9341,45.3323,45.0457,60.5293,64.5569,75.1771,80.8011,62.04,67.89,74.24,79.96,86.01,92.48,104.25,116.15,128.15,2,1,2,16,1,4,4,4,1.6,1,6.3333,6.3333,6
"3967","10003967",60.2208,87.7512,107.1602,123.8205,124.4503,129.7077,142.4677,140.3554,157.4017,55.7686,63.8684,81.1877,85.225,98.7106,119.0963,126.6146,134.9325,142.1788,38.5279,40.0868,58.1906,56.1137,64.4286,72.9493,81.4956,81.5741,62.73,69.9,74.33,81.34,88.21,94.19,104.91,117.8,127.89,2,5,2,17,1,4,4,4,1,1,6.8333,6.5,8
"3977","10003977",48.4168,77.373,86.4196,102.7381,103.1636,117.1517,133.1943,131.5238,147.1824,33.0436,51.8511,54.4982,76.2555,77.2789,93.5451,114.3963,128.9201,133.3396,32.0108,32.225,32.2815,39.0128,40.4325,48.3037,61.4627,77.1695,64.83,71.24,76.77,83.47,88.6,95.47,107.15,120.16,132.2,2,1,4,17,1,2.2857,3,3,1.6,1.25,3.6667,3.8333,7
"4164","10004164",67.977,72.4147,97.5694,106.4196,120.7078,105.4048,128.506,141.5602,151.7855,75.2441,86.7848,91.226,107.7772,106.1625,109.4133,124.2571,136.7237,142.2746,31.1937,46.4677,42.2945,53.4401,57.2189,73.8478,84.3573,89.3399,68.58,74.83,80.09,85.58,92.05,98.01,109.32,122.37,134.27,1,1,2,11,1,3.1429,2.75,3.2,1.4,1,4.8333,5,5
"4166","10004166",55.5521,63.6228,73.2918,98.7632,88.1437,96.8393,115.6164,135.3828,137.2915,31.5328,38.3225,47.656,56.2686,79.8859,105.6631,121.652,129.2767,134.1097,41.0062,38.3656,46.602,60.2565,59.4128,67.9629,71.4059,76.0313,68.38,73.64,79.2,86.3,91.36,97.61,109.18,120.16,132.16,2,7,4,8,1,3.7143,4,4,1.4,1.75,5.1667,5.1667,4
"4279","10004279",58.5272,95.9006,101.2576,110.5467,133.0628,133.9657,125.6385,143.1355,152.0552,47.1483,60.5723,70.9014,73.2953,92.8416,103.7331,117.8806,127.2646,133.0757,38.4969,39.6469,42.0877,49.1638,50.8137,71.2709,76.4518,88.4874,69.63,76.14,81.63,87.98,93.73,100.41,111.98,123.02,136.93,1,1,3,9,1,3.4286,3.5,3.6,1.4,1.25,5.6667,5.6667,3
"4321","10004321",49.7815,63.8144,89.745,110.5577,112.3618,127.1791,131.0244,134.3436,149.3685,35.785,51.4184,56.0208,67.4704,70.3949,94.8593,114.2439,118.5869,121.2083,32.2585,35.3071,39.8702,46.5862,61.9268,67.5859,75.6181,79.7403,69.63,74.76,80.78,87.19,91.56,98.63,110.47,122.43,134.43,1,1,4,17,1,2.5714,3.5,3.2,1,1.25,4.1667,4.8,4
"4367","10004367",49.789,70.2552,87.0226,108.8994,106.1703,106.6056,120.607,127.7092,127.8142,36.5254,56.1819,46.9391,67.8023,73.6802,90.1648,115.955,109.1196,116.7787,30.4879,33.3769,33.5202,38.3489,41.5158,52.668,62.4101,64.2637,63.78,69.8,75.52,81.76,87.52,93.67,104.94,116.91,129.93,1,1,2,17,2,2.5714,2.5,2.4,1.8,1.25,3.5,4.6667,3
"4431","10004431",45.746,59.0641,68.1779,94.3938,97.747,117.8088,131.0603,138.9991,128.4363,30.4505,46.247,46.1247,70.0847,75.4983,94.3949,100.3072,107.1445,121.7708,34.6366,29.6339,39.2414,42.8836,49.7916,49.7673,68.9688,74.1891,64.08,71.11,75.72,82.59,89.49,95.47,106.19,119.08,129.17,2,1,2,17,1,3.7143,3.5,3.8,1.2,1,6.3333,6.5,8
"4482","10004482",56.2654,83.5483,90.2284,103.834,103.5704,105.6575,119.0713,122.7133,118.264,37.2843,40.5303,55.6775,66.6399,70.656,83.1491,82.1736,96.0144,103.8326,30.9634,28.7235,36.2327,40.3943,53.0734,46.474,63.7137,80.0349,64.77,72.99,78.9,83.8,89.46,95.7,107.54,119.44,131.44,1,3,1,10,2,2.2857,2.75,3,1.75,1.25,3,4.1667,3
"4560","10004560",44.4877,56.9601,61.7308,68.2606,72.0581,81.7558,103.8975,106.2744,109.2755,25.4183,44.4313,45.4489,57.2567,65.486,82.469,90.4213,101.9073,102.033,32.9612,29.215,34.8002,39.6442,45.6425,50.1385,56.1721,63.5364,72.66,79.07,85.25,91.69,97.51,103.66,115.96,126.94,139.96,2,3,1,3,1,3,3,2.6,1.8,1,4.6667,4.8333,3
"4619","10004619",61.0935,73.2487,75.6231,87.5046,89.7877,100.7865,105.8308,119.3463,131.8898,37.2313,37.8785,47.7859,45.9413,55.7806,62.3004,70.5589,73.1089,78.9375,39.3615,32.6961,30.3,45.8551,40.4161,45.9804,57.3648,67.7643,68.32,72.76,78.02,84.82,90.35,96.62,109.38,119.38,131.38,1,3,1,11,1,3.2857,3.6667,3,2,1,5.1667,5.6667,5
"4622","10004622",48.9318,69.8742,82.0065,100.4424,123.599,125.6723,130.4818,152.5926,151.4728,34.8929,45.1673,54.9243,69.9039,71.4782,82.6141,95.1603,111.8111,121.0635,36.2471,29.2371,47.0567,54.9454,56.4544,66.4592,74.4123,80.5273,71.18,76.44,82.92,89.1,95.08,101.03,112.64,125.59,137.59,2,3,4,3,1,3,3.6667,3.4,1.2,1.25,4.8333,4.8333,2
"4651","10004651",39.3761,52.4214,44.2031,67.3692,83.8991,103.4931,104.2193,103.3864,128.0178,29.1763,47.5648,47.2575,61.6344,53.9882,69.707,89.9401,96.5415,109.4695,24.3904,19.6802,27.1309,25.4444,36.3134,59.4061,72.6473,71.5607,71.18,76.73,81.14,88.14,93.44,99.88,111.16,124.18,136.18,2,3,1,4,1,2.4286,2.5,3.2,2.8,2,2.6667,2.8333,3
"4734","10004734",51.8687,64.0779,69.2723,88.7899,101.5799,108.488,102.48,127.276,142.3637,45.5053,54.1398,62.2829,74.5487,82.4621,99.4426,106.4363,122.0418,135.038,32.8551,29.0824,34.6469,43.3447,47.5936,52.2235,57.6554,76.4153,61.74,67.3,72.59,78.12,84.26,90.54,101.52,114.54,125.52,2,5,1,17,1,2.8571,3,2.8,1.2,1,5.6667,5.1667,6
"4769","10004770",45.0124,60.8223,71.643,105.5258,91.1111,112.0957,112.6457,134.7224,144.5511,30.7641,36.8759,44.3017,63.0259,63.1524,69.0763,84.2863,96.8298,110.4371,31.9942,29.1958,45.0534,37.4593,49.4035,43.8827,64.9625,83.1894,68.81,73.87,80.32,86.96,92.02,99.16,109.74,121.78,133.68,1,3,1,6,1,3.8333,4,4,1.4,1.5,5.8333,6,3
"4790","10004791",100.1939,101.9643,112.1678,117.6331,115.9033,123.1386,130.9385,136.2167,150.206,55.4164,64.9064,71.6555,84.7626,96.7249,98.65,105.7072,111.1753,137.8662,42.6348,52.3583,52.9884,59.8497,62.5762,63.9893,76.4963,84.9018,69.01,76.14,82.59,87.62,93.21,99.16,110.96,121.94,134.93,2,2,1,16,2,2,2,2,2,1,2.5,3,5
"4802","10004803",53.5888,77.7842,102.6564,116.8745,126.8989,134.7836,138.763,141.4499,146.1839,40.8326,54.8623,62.411,78.3562,90.4137,108.5754,121.8262,119.5527,128.0965,34.4048,46.7382,53.7452,56.3489,65.3319,67.1787,76.0568,80.6784,66.25,73.45,78.48,84.82,91.3,97.08,109.08,120.2,132.16,1,8,1,16,1,4,4,4,1.2,1.25,6.8333,6.8333,5
"4810","10004811",61.6775,75.8334,78.3392,106.0114,112.556,126.489,138.3791,132.2757,134.2162,76.2586,97.6093,97.9155,103.3551,112.2991,127.7069,139.2416,143.3526,141.616,47.1559,47.8774,58.8788,52.8946,64.81,70.335,76.7989,83.298,74.24,81.57,88.31,93.3,99.78,106.26,115.4,129.3,140.35,1,1,2,17,2,3.1429,3.3333,2.6,1,1.25,6,5.6667,6
"4856","10004857",43.3907,58.3486,58.8052,66.3463,68.0704,74.3969,124.2197,112.4264,130.3331,17.4396,29.8973,45.8396,58.6007,57.1162,69.1695,66.8246,84.354,86.6619,21.2477,24.0612,29.118,35.0827,39.2071,45.8898,51.4468,55.6895,71.34,76.21,82.45,88.21,93.7,100.14,111.91,123.95,135.02,2,3,2,12,1,3.8571,3.75,4,1,1.25,6.2,7,3
"4858","10004859",39.8035,59.8915,89.1516,97.8769,99.6895,111.4159,114.925,127.0466,135.0217,25.381,37.3081,58.6203,66.2637,69.439,101.7137,119.3474,116.9617,129.8297,20.0577,24.7031,27.2812,27.0055,38.5008,40.67,48.2129,59.2922,65.82,72.1,78.02,83.74,89.69,96.69,107.51,119.54,132.46,1,3,1,4,1,1.8571,2,2.4,3,1,3.1667,4.3333,1
"4870","10004871",50.517,72.8194,82.5679,101.3431,96.4133,104.5041,107.9413,133.3529,138.4785,34.9881,41.3397,49.8581,65.2242,69.671,76.4362,87.2978,98.0171,93.9443,29.5825,32.1749,31.926,43.6496,42.7286,41.9593,52.1476,62.5464,71.15,77.79,82.55,89.19,94.68,101.62,112.01,124.04,137.03,1,2,4,8,1,2,2,2.2,3,2.5,3,3,5
"4895","10004896",51.511,84.9437,98.6415,113.6474,112.8394,112.7505,117.9183,130.0147,147.0786,34.5188,60.0035,58.7133,68.8494,75.9359,99.5357,102.592,119.0023,127.3881,33.4665,32.3003,38.5292,52.0576,57.0928,60.5539,66.8088,75.7352,64.87,70.16,75.65,81.6,87.78,94.06,105.8,117.76,128.81,2,5,1,7,1,3.4286,3,3,1,1.25,5.3333,5.8333,2
"4949","10004950",58.5945,86.0222,96.6354,118.5919,125.1299,125.1186,142.5049,152.1729,156.8126,37.266,56.3143,60.0924,76.834,79.4669,98.0929,121.5431,120.5832,122.8039,39.1768,47.8856,61.8653,54.6001,61.8715,72.7133,75.7849,86.6798,72.76,78.94,84.72,91.13,97.58,103.66,115.66,126.64,138.64,2,1,2,13,1,3.7143,3.5,3.75,1,1.25,5.6,6.2,6
"5038","10005039",54.2164,64.5632,65.8966,99.9858,117.4461,123.4058,127.5402,122.8855,150.7668,35.2235,54.6861,66.5187,72.5246,89.4865,95.297,120.9505,124.7389,130.1932,45.8505,43.9925,49.4489,52.7452,61.8059,68.4458,69.2714,74.1173,72.1,77.39,83.87,90.05,95.97,101.98,114.48,126.54,138.54,1,1,4,18,1,3.2857,3.5,3.5,1.6,1.25,4.3333,4.6,6
"5041","10005042",57.1393,69.6604,75.5059,109.0133,108.2019,114.9636,119.2686,143.002,150.4506,35.1089,51.5974,62.4562,84.6555,84.6555,102.4611,123.9491,138.3669,136.8779,33.2778,45.2862,50.2957,57.7608,52.7308,76.1558,83.2396,87.9368,65.13,71.34,76.67,82.16,88.57,94.55,105.86,118.92,130.82,1,3,2,17,1,3.2857,2.75,3,1.2,1,5.6667,5,8
"5044","10005045",65.9194,74.925,76.039,105.8687,104.9953,119.7686,122.0807,135.338,142.5466,30.7655,41.6661,54.2679,71.7186,68.2763,83.9174,113.731,127.3399,122.5021,22.3774,25.4584,34.466,36.2267,52.0275,61.9337,71.0223,77.9266,69.9,76.77,80.42,86.27,91.69,98.43,111.42,121.38,134.43,1,3,2,5,1,3,3.25,2.8,1.2,2,4.6667,5.4,1
